picture_id,cluster_id,cluster_rank
100327,109,2
100327,31,3
100327,10,4
100328,36,1
100328,91,2
100328,52,3
100328,26,4
100329,82,1
100329,89,2
100329,78,3
100329,88,4
10033,46,1
10033,105,2
10033,109,3
10033,39,4
100332,52,1
100332,47,2
100332,93,3
100332,55,4
100333,93,1
100333,62,2
100333,15,3
100333,44,4
100334,86,1
100334,23,2
100334,60,3
100334,13,4
100335,67,1
100335,10,2
100335,88,3
100335,23,4
100336,88,1
100336,83,2
100336,10,3
100336,60,4
100337,6,1
100337,83,2
100337,11,3
100337,85,4
100339,27,1
100339,0,2
100339,60,3
100339,10,4
10034,93,1
10034,21,2
10034,14,3
10034,90,4
100341,86,1
100341,40,2
100341,60,3
100341,85,4
100343,60,1
100343,13,2
100343,63,3
100343,61,4
100345,88,1
100345,83,2
100345,27,3
100345,10,4
100346,83,1
100346,10,2
100346,14,3
100346,61,4
10035,84,1
10035,55,2
10035,65,3
10035,17,4
100350,86,1
100350,60,2
100350,13,3
100350,27,4
100352,10,1
100352,96,2
100352,79,3
100352,0,4
100354,88,1
100354,83,2
100354,78,3
100354,6,4
100355,83,1
100355,67,2
100355,88,3
100355,72,4
100356,83,1
100356,10,2
100356,0,3
100356,89,4
100359,81,1
100359,64,2
100359,55,3
100359,73,4
10036,45,1
10036,65,2
10036,8,3
10036,90,4
100361,32,1
100361,72,2
100361,14,3
100361,10,4
10037,84,1
10037,65,2
10037,8,3
10037,55,4
10038,45,1
10038,8,2
10038,64,3
10038,71,4
10039,43,1
10039,69,2
10039,104,3
10039,1,4
1004,4,1
1004,70,2
1004,55,3
1004,64,4
10040,103,1
10040,69,2
10040,1,3
10040,5,4
10041,43,1
10041,103,2
10041,102,3
10041,69,4
10042,94,1
10042,8,2
10042,11,3
10042,92,4
10043,65,1
10043,40,2
10043,90,3
10043,11,4
10044,44,1
10044,90,2
10044,65,3
10044,45,4
10045,90,1
10045,84,2
10045,87,3
10045,68,4
100459,44,1
100459,91,2
100459,53,3
100459,79,4
10046,90,1
10046,8,2
10046,65,3
10046,84,4
10047,44,1
10047,65,2
10047,8,3
10047,11,4
100471,109,1
100471,63,2
100471,3,3
100471,11,4
100472,46,1
100472,109,2
100472,11,3
100472,97,4
100473,78,1
100473,16,2
100473,53,3
100473,77,4
100474,27,1
100474,86,2
100474,60,3
100474,13,4
100475,37,1
100475,6,2
100475,78,3
100475,27,4
100476,60,1
100476,27,2
100476,70,3
100476,10,4
100477,47,1
100477,23,2
100477,43,3
100477,19,4
100478,70,1
100478,23,2
100478,10,3
100478,50,4
10048,3,1
10048,9,2
10048,90,3
10048,89,4
100480,60,1
100480,23,2
100480,63,3
100480,27,4
100481,6,1
100481,80,2
100481,91,3
100481,78,4
100482,91,1
100482,19,2
100482,38,3
100482,10,4
100483,67,1
100483,14,2
100483,15,3
100483,56,4
100484,30,1
100484,13,2
100484,69,3
100484,91,4
100485,82,1
100485,13,2
100485,30,3
100485,35,4
100487,57,1
100487,27,2
100487,10,3
100487,0,4
100489,21,1
100489,64,2
100489,96,3
100489,89,4
10049,99,1
10049,9,2
10049,3,3
10049,104,4
100492,93,1
100492,56,2
100492,97,3
100492,69,4
100493,69,1
100493,103,2
100493,93,3
100493,97,4
100494,21,1
100494,65,2
100494,99,3
100494,84,4
100495,56,1
100495,92,2
100495,97,3
100495,75,4
100496,69,1
100496,1,2
100496,61,3
100496,73,4
100497,82,1
100497,96,2
100497,5,3
100497,53,4
100499,30,1
100499,42,2
100499,6,3
100499,27,4
1005,22,1
1005,69,2
1005,97,3
1005,8,4
10050,44,1
10050,3,2
10050,9,3
10050,20,4
100500,21,1
100500,1,2
100500,61,3
100500,69,4
100502,53,1
100502,67,2
100502,11,3
100502,79,4
100503,94,1
100503,45,2
100503,93,3
100503,60,4
100504,34,1
100504,62,2
100504,6,3
100504,16,4
100505,38,1
100505,15,2
100505,77,3
100505,41,4
100506,32,1
100506,26,2
100506,60,3
100506,83,4
100507,26,1
100507,61,2
100507,5,3
100507,99,4
100508,59,1
100508,31,2
100508,81,3
100508,38,4
10051,97,1
10051,11,2
10051,104,3
10051,8,4
100510,44,1
100510,91,2
100510,8,3
100510,17,4
100511,35,1
100511,34,2
100511,61,3
100511,12,4
100512,3,1
100512,5,2
100512,79,3
100512,105,4
100513,93,1
100513,19,2
100513,62,3
100513,103,4
100514,11,1
100514,79,2
100514,17,3
100514,57,4
100515,3,1
100515,104,2
100515,90,3
100515,70,4
100517,80,1
100517,44,2
100517,91,3
100517,52,4
100518,59,1
100518,14,2
100518,63,3
100518,79,4
100519,3,1
100519,79,2
100519,27,3
100519,0,4
10052,1,1
10052,43,2
10052,104,3
10052,69,4
100520,91,1
100520,19,2
100520,26,3
100520,44,4
100521,11,1
100521,79,2
100521,52,3
100521,89,4
100522,53,1
100522,36,2
100522,109,3
100522,11,4
100523,109,1
100523,3,2
100523,51,3
100523,10,4
100527,69,1
100527,1,2
100527,61,3
100527,79,4
100528,101,1
100528,1,2
100528,43,3
100528,61,4
100529,35,1
100529,12,2
100529,72,3
100529,10,4
10053,1,1
10053,64,2
10053,69,3
10053,79,4
10054,75,1
10054,64,2
10054,69,3
10054,97,4
10055,9,1
10055,75,2
10055,64,3
10055,69,4
10056,63,1
10056,10,2
10056,95,3
10056,23,4
10057,77,1
10057,51,2
10057,17,3
10057,23,4
10058,77,1
10058,23,2
10058,57,3
10058,100,4
10059,29,1
10059,105,2
10059,28,3
10059,4,4
1006,22,1
1006,48,2
1006,17,3
1006,71,4
10060,109,1
10060,29,2
10060,28,3
10060,60,4
10061,77,1
10061,57,2
10061,51,3
10061,23,4
10062,35,1
10062,51,2
10062,13,3
10062,37,4
10063,28,1
10063,109,2
10063,27,3
10063,0,4
10064,68,1
10064,84,2
10064,17,3
10064,95,4
10065,68,1
10065,84,2
10065,95,3
10065,91,4
10066,68,1
10066,95,2
10066,108,3
10066,44,4
10067,68,1
10067,95,2
10067,84,3
10067,63,4
10068,9,1
10068,18,2
10068,3,3
10068,92,4
10069,18,1
10069,9,2
10069,3,3
10069,45,4
1007,31,1
1007,71,2
1007,19,3
1007,97,4
10070,3,1
10070,9,2
10070,79,3
10070,43,4
10071,97,1
10071,102,2
10071,11,3
10071,69,4
10072,39,1
10072,72,2
10072,12,3
10072,50,4
10073,50,1
10073,58,2
10073,83,3
10073,17,4
10074,68,1
10074,84,2
10074,87,3
10074,91,4
10075,91,1
10075,82,2
10075,85,3
10075,41,4
10076,108,1
10076,3,2
10076,43,3
10076,59,4
10077,94,1
10077,44,2
10077,47,3
10077,75,4
10079,9,1
10079,3,2
10079,44,3
10079,104,4
1008,35,1
1008,57,2
1008,50,3
1008,95,4
10080,87,1
10080,75,2
10080,84,3
10080,71,4
100808,75,1
100808,97,2
100808,11,3
100808,61,4
10081,1,1
10081,65,2
10081,84,3
10081,17,4
100811,69,1
100811,21,2
100811,103,3
100811,1,4
100812,1,1
100812,61,2
100812,69,3
100812,79,4
100813,1,1
100813,61,2
100813,69,3
100813,79,4
100814,103,1
100814,64,2
100814,61,3
100814,69,4
10082,67,1
10082,73,2
10082,95,3
10082,50,4
10083,96,1
10083,15,2
10083,50,3
10083,67,4
10084,30,1
10084,2,2
10084,95,3
10084,72,4
10085,37,1
10085,67,2
10085,12,3
10085,96,4
10086,105,1
10086,7,2
10086,95,3
10086,23,4
10087,19,1
10087,60,2
10087,51,3
10087,57,4
10088,109,1
10088,60,2
10088,4,3
10088,29,4
100882,94,1
100882,79,2
100882,64,3
100882,69,4
100885,27,1
100885,89,2
100885,23,3
100885,55,4
100887,94,1
100887,80,2
100887,17,3
100887,55,4
100888,69,1
100888,61,2
100888,1,3
100888,103,4
10089,109,1
10089,13,2
10089,60,3
10089,70,4
100898,23,1
100898,37,2
100898,60,3
100898,10,4
10090,109,1
10090,96,2
10090,60,3
10090,30,4
100901,60,1
100901,46,2
100901,61,3
100901,0,4
100902,31,1
100902,61,2
100902,15,3
100902,55,4
100903,89,1
100903,59,2
100903,19,3
100903,23,4
100904,23,1
100904,63,2
100904,57,3
100904,37,4
100913,36,1
100913,52,2
100913,61,3
100913,63,4
100914,30,1
100914,13,2
100914,23,3
100914,10,4
100915,32,1
100915,30,2
100915,78,3
100915,96,4
100918,38,1
100918,16,2
100918,31,3
100918,78,4
100919,61,1
100919,69,2
100919,1,3
100919,103,4
10092,63,1
10092,77,2
10092,51,3
10092,17,4
100920,36,1
100920,94,2
100920,19,3
100920,5,4
100928,23,1
100928,50,2
100928,13,3
100928,57,4
100931,61,1
100931,49,2
100931,94,3
100931,47,4
100944,16,1
100944,60,2
100944,86,3
100944,10,4
100949,46,1
100949,10,2
100949,5,3
100949,0,4
10095,18,1
10095,19,2
10095,70,3
10095,3,4
100959,62,1
100959,91,2
100959,38,3
100959,11,4
100962,81,1
100962,89,2
100962,50,3
100962,1,4
100965,5,1
100965,10,2
100965,0,3
100965,63,4
100966,74,1
100966,77,2
100966,37,3
100966,10,4
100971,1,1
100971,79,2
100971,61,3
100971,5,4
100972,81,1
100972,89,2
100972,43,3
100972,103,4
100973,89,1
100973,61,2
100973,43,3
100973,55,4
100975,52,1
100975,69,2
100975,43,3
100975,61,4
100976,72,1
100976,5,2
100976,61,3
100976,104,4
100978,36,1
100978,5,2
100978,61,3
100978,80,4
100980,63,1
100980,2,2
100980,90,3
100980,5,4
101,18,1
101,3,2
101,55,3
101,23,4
101001,36,1
101001,68,2
101001,61,3
101001,3,4
101004,93,1
101004,62,2
101004,61,3
101004,14,4
101005,61,1
101005,82,2
101005,62,3
101005,55,4
101013,32,1
101013,62,2
101013,14,3
101013,81,4
101020,93,1
101020,59,2
101020,61,3
101020,19,4
101021,93,1
101021,106,2
101021,61,3
101021,55,4
101023,81,1
101023,52,2
101023,14,3
101023,79,4
101026,18,1
101026,55,2
101026,61,3
101026,5,4
101027,81,1
101027,4,2
101027,61,3
101027,18,4
101028,18,1
101028,31,2
101028,39,3
101028,55,4
101029,106,1
101029,18,2
101029,81,3
101029,31,4
101030,18,1
101030,55,2
101030,5,3
101030,61,4
101032,18,1
101032,38,2
101032,6,3
101032,81,4
101033,45,1
101033,61,2
101033,47,3
101033,104,4
101034,81,1
101034,61,2
101034,55,3
101034,84,4
101037,81,1
101037,106,2
101037,55,3
101037,61,4
101040,31,1
101040,84,2
101040,61,3
101040,11,4
101043,63,1
101043,79,2
101043,11,3
101043,57,4
101044,5,1
101044,76,2
101044,79,3
101044,11,4
10106,27,1
10106,0,2
10106,105,3
10106,37,4
10107,37,1
10107,27,2
10107,61,3
10107,5,4
101078,84,1
101078,99,2
101078,43,3
101078,87,4
101079,87,1
101079,3,2
101079,76,3
101079,2,4
10108,37,1
10108,27,2
10108,61,3
10108,60,4
101080,26,1
101080,39,2
101080,55,3
101080,99,4
101081,73,1
101081,47,2
101081,36,3
101081,93,4
101082,67,1
101082,45,2
101082,85,3
101082,14,4
101083,36,1
101083,93,2
101083,3,3
101083,45,4
101084,87,1
101084,36,2
101084,5,3
101084,3,4
101085,22,1
101085,36,2
101085,65,3
101085,76,4
101086,85,1
101086,47,2
101086,15,3
101086,2,4
101087,40,1
101087,3,2
101087,55,3
101087,5,4
101088,90,1
101088,84,2
101088,65,3
101088,14,4
101089,50,1
101089,5,2
101089,96,3
101089,57,4
10109,69,1
10109,1,2
10109,61,3
10109,5,4
101091,101,1
101091,45,2
101091,96,3
101091,56,4
10110,92,1
10110,69,2
10110,43,3
10110,61,4
101107,69,1
101107,71,2
101107,19,3
101107,97,4
10111,12,1
10111,21,2
10111,61,3
10111,55,4
101115,76,1
101115,69,2
101115,43,3
101115,99,4
101116,76,1
101116,69,2
101116,1,3
101116,79,4
101117,76,1
101117,69,2
101117,1,3
101117,79,4
101118,76,1
101118,69,2
101118,99,3
101118,79,4
101119,76,1
101119,69,2
101119,79,3
101119,99,4
10112,21,1
10112,91,2
10112,53,3
10112,64,4
101120,76,1
101120,1,2
101120,69,3
101120,99,4
101121,76,1
101121,21,2
101121,69,3
101121,79,4
101122,76,1
101122,103,2
101122,79,3
101122,69,4
101123,76,1
101123,1,2
101123,69,3
101123,79,4
101125,76,1
101125,69,2
101125,1,3
101125,79,4
101126,76,1
101126,69,2
101126,79,3
101126,1,4
101129,76,1
101129,69,2
101129,79,3
101129,1,4
10113,81,1
10113,106,2
10113,55,3
10113,12,4
101130,76,1
101130,69,2
101130,1,3
101130,79,4
101131,76,1
101131,69,2
101131,1,3
101131,99,4
101132,76,1
101132,103,2
101132,69,3
101132,1,4
101136,76,1
101136,69,2
101136,1,3
101136,99,4
101137,76,1
101137,69,2
101137,103,3
101137,79,4
101139,76,1
101139,69,2
101139,1,3
101139,79,4
10114,18,1
10114,9,2
10114,109,3
10114,3,4
101140,76,1
101140,69,2
101140,1,3
101140,99,4
101141,76,1
101141,1,2
101141,69,3
101141,79,4
101144,76,1
101144,69,2
101144,1,3
101144,79,4
101145,76,1
101145,69,2
101145,103,3
101145,79,4
101149,18,1
101149,70,2
101149,0,3
101149,51,4
10115,31,1
10115,45,2
10115,46,3
10115,71,4
101150,63,1
101150,51,2
101150,23,3
101150,0,4
101152,30,1
101152,60,2
101152,27,3
101152,13,4
101153,32,1
101153,27,2
101153,0,3
101153,23,4
101154,30,1
101154,57,2
101154,0,3
101154,10,4
101156,60,1
101156,27,2
101156,51,3
101156,0,4
101157,27,1
101157,60,2
101157,0,3
101157,51,4
101158,60,1
101158,27,2
101158,51,3
101158,23,4
10116,69,1
10116,61,2
10116,43,3
10116,48,4
101161,0,1
101161,23,2
101161,10,3
101161,98,4
101162,109,1
101162,60,2
101162,0,3
101162,87,4
101163,86,1
101163,60,2
101163,51,3
101163,27,4
101164,60,1
101164,13,2
101164,51,3
101164,70,4
101166,30,1
101166,35,2
101166,15,3
101166,96,4
101167,86,1
101167,60,2
101167,13,3
101167,46,4
10117,101,1
10117,69,2
10117,43,3
10117,61,4
10118,45,1
10118,101,2
10118,64,3
10118,17,4
101187,72,1
101187,58,2
101187,14,3
101187,12,4
101188,70,1
101188,37,2
101188,27,3
101188,35,4
10119,81,1
10119,19,2
10119,12,3
10119,61,4
101191,94,1
101191,74,2
101191,47,3
101191,50,4
101192,60,1
101192,23,2
101192,13,3
101192,86,4
101193,60,1
101193,23,2
101193,57,3
101193,74,4
101194,60,1
101194,27,2
101194,51,3
101194,0,4
101195,50,1
101195,39,2
101195,27,3
101195,51,4
101196,50,1
101196,15,2
101196,27,3
101196,0,4
101197,46,1
101197,109,2
101197,60,3
101197,86,4
101199,46,1
101199,109,2
101199,60,3
101199,0,4
10120,81,1
10120,38,2
10120,55,3
10120,12,4
101200,46,1
101200,109,2
101200,60,3
101200,86,4
101203,51,1
101203,0,2
101203,27,3
101203,10,4
101205,60,1
101205,0,2
101205,10,3
101205,27,4
101206,27,1
101206,23,2
101206,0,3
101206,60,4
101207,63,1
101207,23,2
101207,51,3
101207,57,4
101208,27,1
101208,37,2
101208,15,3
101208,60,4
101209,63,1
101209,57,2
101209,23,3
101209,51,4
10121,55,1
10121,1,2
10121,84,3
10121,89,4
101210,63,1
101210,51,2
101210,57,3
101210,95,4
101211,86,1
101211,60,2
101211,13,3
101211,23,4
101215,36,1
101215,53,2
101215,99,3
101215,63,4
101217,99,1
101217,26,2
101217,78,3
101217,72,4
10122,64,1
10122,45,2
10122,97,3
10122,65,4
101220,99,1
101220,88,2
101220,41,3
101220,66,4
101222,76,1
101222,99,2
101222,69,3
101222,61,4
101224,59,1
101224,99,2
101224,9,3
101224,36,4
101225,99,1
101225,3,2
101225,79,3
101225,104,4
101226,76,1
101226,75,2
101226,52,3
101226,97,4
101227,99,1
101227,66,2
101227,53,3
101227,82,4
101228,76,1
101228,69,2
101228,99,3
101228,7,4
101229,99,1
101229,55,2
101229,64,3
101229,103,4
10123,30,1
10123,37,2
10123,83,3
10123,96,4
101230,76,1
101230,69,2
101230,43,3
101230,79,4
101232,78,1
101232,6,2
101232,99,3
101232,53,4
101233,99,1
101233,42,2
101233,53,3
101233,66,4
101235,76,1
101235,43,2
101235,69,3
101235,99,4
101236,99,1
101236,6,2
101236,87,3
101236,11,4
101237,6,1
101237,99,2
101237,66,3
101237,92,4
101238,99,1
101238,64,2
101238,104,3
101238,81,4
101239,92,1
101239,69,2
101239,79,3
101239,99,4
10124,21,1
10124,64,2
10124,104,3
10124,0,4
101240,92,1
101240,69,2
101240,76,3
101240,99,4
101242,92,1
101242,69,2
101242,61,3
101242,99,4
101243,92,1
101243,61,2
101243,64,3
101243,69,4
101244,92,1
101244,69,2
101244,61,3
101244,79,4
101245,92,1
101245,76,2
101245,79,3
101245,99,4
101247,92,1
101247,69,2
101247,61,3
101247,99,4
101248,99,1
101248,43,2
101248,103,3
101248,64,4
101249,76,1
101249,99,2
101249,69,3
101249,11,4
101251,99,1
101251,9,2
101251,68,3
101251,71,4
101253,92,1
101253,69,2
101253,76,3
101253,95,4
101254,76,1
101254,43,2
101254,69,3
101254,79,4
101255,52,1
101255,91,2
101255,45,3
101255,10,4
101256,62,1
101256,32,2
101256,16,3
101256,53,4
101257,39,1
101257,78,2
101257,62,3
101257,5,4
101258,53,1
101258,5,2
101258,6,3
101258,91,4
10134,12,1
10134,49,2
10134,45,3
10134,71,4
10135,109,1
10135,71,2
10135,78,3
10135,89,4
10136,69,1
10136,43,2
10136,79,3
10136,5,4
10137,69,1
10137,43,2
10137,5,3
10137,54,4
10138,69,1
10138,43,2
10138,64,3
10138,76,4
10139,101,1
10139,64,2
10139,43,3
10139,69,4
10140,61,1
10140,5,2
10140,48,3
10140,81,4
10141,81,1
10141,16,2
10141,19,3
10141,31,4
10142,48,1
10142,64,2
10142,43,3
10142,1,4
10143,19,1
10143,71,2
10143,97,3
10143,92,4
10144,61,1
10144,47,2
10144,17,3
10144,73,4
10145,61,1
10145,51,2
10145,73,3
10145,12,4
10146,45,1
10146,55,2
10146,64,3
10146,106,4
10147,28,1
10147,29,2
10147,20,3
10147,46,4
10148,28,1
10148,29,2
10148,98,3
10148,22,4
10149,18,1
10149,80,2
10149,11,3
10149,9,4
10150,39,1
10150,57,2
10150,70,3
10150,50,4
10151,44,1
10151,3,2
10151,73,3
10151,11,4
101513,37,1
101513,86,2
101513,31,3
101513,27,4
10152,94,1
10152,90,2
10152,44,3
10152,11,4
101524,52,1
101524,45,2
101524,103,3
101524,60,4
101525,52,1
101525,19,2
101525,65,3
101525,39,4
101526,52,1
101526,65,2
101526,95,3
101526,8,4
101527,108,1
101527,17,2
101527,71,3
101527,0,4
101528,45,1
101528,61,2
101528,17,3
101528,104,4
10153,94,1
10153,87,2
10153,105,3
10153,8,4
101530,94,1
101530,45,2
101530,17,3
101530,71,4
101531,62,1
101531,53,2
101531,16,3
101531,91,4
101532,52,1
101532,19,2
101532,89,3
101532,63,4
101533,31,1
101533,62,2
101533,16,3
101533,13,4
101534,93,1
101534,47,2
101534,65,3
101534,55,4
101535,105,1
101535,27,2
101535,60,3
101535,13,4
101536,62,1
101536,105,2
101536,0,3
101536,42,4
101537,52,1
101537,93,2
101537,59,3
101537,109,4
101538,94,1
101538,59,2
101538,43,3
101538,3,4
101539,62,1
101539,37,2
101539,38,3
101539,91,4
10154,94,1
10154,90,2
10154,47,3
10154,43,4
101540,53,1
101540,62,2
101540,78,3
101540,6,4
101542,72,1
101542,39,2
101542,19,3
101542,27,4
101544,47,1
101544,29,2
101544,28,3
101544,31,4
101545,19,1
101545,44,2
101545,17,3
101545,11,4
101546,31,1
101546,84,2
101546,19,3
101546,21,4
10155,84,1
10155,44,2
10155,97,3
10155,79,4
101551,86,1
101551,30,2
101551,88,3
101551,23,4
101553,41,1
101553,32,2
101553,30,3
101553,88,4
101554,83,1
101554,26,2
101554,60,3
101554,0,4
101555,70,1
101555,0,2
101555,27,3
101555,60,4
101556,109,1
101556,105,2
101556,60,3
101556,0,4
101557,109,1
101557,0,2
101557,60,3
101557,96,4
101559,27,1
101559,70,2
101559,60,3
101559,86,4
10156,8,1
10156,79,2
10156,47,3
10156,11,4
101560,80,1
101560,88,2
101560,86,3
101560,46,4
101561,45,1
101561,0,2
101561,10,3
101561,58,4
101563,37,1
101563,23,2
101563,80,3
101563,50,4
101564,37,1
101564,6,2
101564,58,3
101564,57,4
101565,67,1
101565,57,2
101565,10,3
101565,27,4
101568,89,1
101568,0,2
101568,60,3
101568,55,4
101569,6,1
101569,0,2
101569,23,3
101569,3,4
10157,64,1
10157,84,2
10157,90,3
10157,79,4
101571,86,1
101571,30,2
101571,50,3
101571,60,4
101572,105,1
101572,27,2
101572,4,3
101572,70,4
101577,83,1
101577,88,2
101577,41,3
101577,13,4
101578,41,1
101578,82,2
101578,88,3
101578,13,4
101579,16,1
101579,51,2
101579,0,3
101579,63,4
10158,84,1
10158,68,2
10158,90,3
10158,87,4
101580,78,1
101580,16,2
101580,51,3
101580,0,4
10159,47,1
10159,8,2
10159,84,3
10159,11,4
101591,19,1
101591,18,2
101591,51,3
101591,41,4
101593,75,1
101593,69,2
101593,97,3
101593,52,4
101594,46,1
101594,0,2
101594,80,3
101594,63,4
101595,88,1
101595,32,2
101595,0,3
101595,13,4
101596,62,1
101596,105,2
101596,38,3
101596,16,4
101606,1,1
101606,92,2
101606,43,3
101606,8,4
10161,44,1
10161,65,2
10161,87,3
10161,8,4
101610,109,1
101610,29,2
101610,4,3
101610,0,4
101612,88,1
101612,60,2
101612,0,3
101612,13,4
101618,41,1
101618,74,2
101618,46,3
101618,57,4
10162,87,1
10162,79,2
10162,104,3
10162,11,4
101621,52,1
101621,40,2
101621,47,3
101621,19,4
101623,31,1
101623,84,2
101623,68,3
101623,69,4
101624,85,1
101624,15,2
101624,90,3
101624,52,4
10163,11,1
10163,97,2
10163,79,3
10163,43,4
101630,109,1
101630,29,2
101630,60,3
101630,0,4
101631,13,1
101631,17,2
101631,51,3
101631,27,4
101636,69,1
101636,43,2
101636,1,3
101636,79,4
101638,87,1
101638,68,2
101638,17,3
101638,84,4
101639,70,1
101639,0,2
101639,23,3
101639,17,4
10164,10,1
10164,43,2
10164,1,3
10164,5,4
101642,4,1
101642,28,2
101642,109,3
101642,0,4
101644,108,1
101644,58,2
101644,17,3
101644,75,4
101646,60,1
101646,72,2
101646,0,3
101646,105,4
10165,101,1
10165,21,2
10165,55,3
10165,62,4
101650,49,1
101650,59,2
101650,71,3
101650,17,4
101651,68,1
101651,36,2
101651,7,3
101651,60,4
101652,1,1
101652,43,2
101652,69,3
101652,92,4
101653,60,1
101653,27,2
101653,10,3
101653,57,4
101654,91,1
101654,69,2
101654,68,3
101654,11,4
101655,41,1
101655,13,2
101655,86,3
101655,60,4
101659,17,1
101659,71,2
101659,108,3
101659,11,4
10166,84,1
10166,8,2
10166,55,3
10166,5,4
101660,92,1
101660,97,2
101660,104,3
101660,75,4
101661,47,1
101661,11,2
101661,104,3
101661,79,4
101662,36,1
101662,32,2
101662,109,3
101662,3,4
101666,80,1
101666,91,2
101666,42,3
101666,68,4
10167,49,1
10167,9,2
10167,48,3
10167,75,4
101674,27,1
101674,10,2
101674,102,3
101674,14,4
101675,74,1
101675,84,2
101675,8,3
101675,70,4
10168,103,1
10168,69,2
10168,104,3
10168,92,4
101688,35,1
101688,15,2
101688,96,3
101688,77,4
10169,47,1
10169,91,2
10169,84,3
10169,68,4
101691,63,1
101691,23,2
101691,51,3
101691,74,4
101693,58,1
101693,45,2
101693,34,3
101693,10,4
10170,103,1
10170,65,2
10170,69,3
10170,11,4
101701,78,1
101701,31,2
101701,16,3
101701,108,4
101704,87,1
101704,47,2
101704,84,3
101704,65,4
101705,40,1
101705,36,2
101705,43,3
101705,91,4
101706,109,1
101706,28,2
101706,29,3
101706,4,4
101708,68,1
101708,45,2
101708,73,3
101708,104,4
101709,16,1
101709,31,2
101709,80,3
101709,3,4
10171,101,1
10171,1,2
10171,69,3
10171,40,4
101710,52,1
101710,34,2
101710,17,3
101710,104,4
101711,6,1
101711,68,2
101711,3,3
101711,34,4
101712,21,1
101712,43,2
101712,70,3
101712,52,4
101713,27,1
101713,60,2
101713,63,3
101713,51,4
101715,52,1
101715,94,2
101715,105,3
101715,36,4
101716,52,1
101716,91,2
101716,62,3
101716,94,4
101717,57,1
101717,63,2
101717,51,3
101717,23,4
101718,23,1
101718,0,2
101718,51,3
101718,13,4
101719,86,1
101719,60,2
101719,63,3
101719,51,4
10172,91,1
10172,52,2
10172,79,3
10172,1,4
101721,105,1
101721,74,2
101721,63,3
101721,27,4
101722,60,1
101722,23,2
101722,63,3
101722,51,4
101724,74,1
101724,50,2
101724,2,3
101724,80,4
101725,105,1
101725,77,2
101725,27,3
101725,35,4
101726,23,1
101726,19,2
101726,1,3
101726,63,4
101727,47,1
101727,23,2
101727,60,3
101727,1,4
101728,74,1
101728,0,2
101728,57,3
101728,27,4
101729,83,1
101729,32,2
101729,96,3
101729,50,4
10173,23,1
10173,63,2
10173,51,3
10173,98,4
101730,71,1
101730,59,2
101730,63,3
101730,27,4
101731,59,1
101731,19,2
101731,80,3
101731,71,4
101733,32,1
101733,0,2
101733,30,3
101733,27,4
101734,13,1
101734,0,2
101734,60,3
101734,51,4
101735,52,1
101735,45,2
101735,43,3
101735,39,4
10174,72,1
10174,83,2
10174,95,3
10174,2,4
101740,38,1
101740,93,2
101740,62,3
101740,59,4
101741,59,1
101741,62,2
101741,14,3
101741,49,4
